Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Feb 4, 2021",FC Barcelona,Anadolu Efes Istanbul,86,88,0
"Feb 4, 2021",Valencia Basket,CSKA Moscow,105,103,1
"Feb 5, 2021",Fenerbahce BEKO,Zenit St. Petersburg,92,84,1
"Feb 5, 2021",FC Bayern München,ALBA Berlin,101,95,1
"Feb 5, 2021",LDLC ASVEL,AX Milano,78,69,1
"Feb 5, 2021",Olympiacos Piraeus,Panathinaikos Athens,77,88,0
"Feb 5, 2021",Real Madrid,Baskonia,64,84,0
"Feb 13, 2021",Real Madrid,Crvena Zvezda Belgrade,77,79,0
"Feb 18, 2021",Anadolu Efes Istanbul,Olympiacos Piraeus,76,53,1
"Feb 18, 2021",Khimki Moscow Region,Baskonia,67,89,0
"Feb 18, 2021",AX Milano,Maccabi Tel Aviv,87,68,1
"Feb 18, 2021",FC Barcelona,Zalgiris Kaunas,86,62,1
"Feb 19, 2021",Fenerbahce BEKO,ALBA Berlin,89,84,1
"Feb 19, 2021",Crvena Zvezda Belgrade,Zenit St. Petersburg,75,76,0
"Feb 19, 2021",LDLC ASVEL,FC Bayern München,87,79,1
"Feb 19, 2021",Valencia Basket,Real Madrid,89,78,1
"Feb 22, 2021",Zenit St. Petersburg,AX Milano,79,70,1
"Feb 23, 2021",Zalgiris Kaunas,Crvena Zvezda Belgrade,75,62,1
"Feb 25, 2021",Zenit St. Petersburg,Valencia Basket,62,91,0
"Feb 25, 2021",Olympiacos Piraeus,CSKA Moscow,74,75,0
"Feb 25, 2021",FC Bayern München,Maccabi Tel Aviv,72,70,1
"Feb 25, 2021",AX Milano,Khimki Moscow Region,84,74,1
"Feb 25, 2021",Real Madrid,Zalgiris Kaunas,70,58,1
"Feb 26, 2021",Fenerbahce BEKO,Anadolu Efes Istanbul,74,106,0
"Feb 26, 2021",ALBA Berlin,Panathinaikos Athens,74,65,1
"Feb 26, 2021",Baskonia,Crvena Zvezda Belgrade,87,67,1
"Feb 26, 2021",FC Barcelona,LDLC ASVEL,69,76,0
"Mar 2, 2021",Khimki Moscow Region,Real Madrid,78,77,1
"Mar 2, 2021",Zenit St. Petersburg,ALBA Berlin,87,71,1
"Mar 2, 2021",Anadolu Efes Istanbul,Valencia Basket,99,83,1
"Mar 2, 2021",Panathinaikos Athens,FC Barcelona,77,85,0
"Mar 2, 2021",Maccabi Tel Aviv,CSKA Moscow,80,84,0
"Mar 2, 2021",Crvena Zvezda Belgrade,FC Bayern München,76,78,0
"Mar 3, 2021",Zalgiris Kaunas,LDLC ASVEL,85,75,1
"Mar 3, 2021",AX Milano,Fenerbahce BEKO,92,100,0
"Mar 3, 2021",Baskonia,Olympiacos Piraeus,91,66,1
"Mar 4, 2021",Zenit St. Petersburg,Real Madrid,71,75,0
"Mar 4, 2021",Anadolu Efes Istanbul,CSKA Moscow,100,70,1
"Mar 4, 2021",FC Bayern München,Panathinaikos Athens,76,71,1
"Mar 4, 2021",Maccabi Tel Aviv,Valencia Basket,84,72,1
"Mar 5, 2021",Khimki Moscow Region,ALBA Berlin,81,100,0
"Mar 5, 2021",Zalgiris Kaunas,AX Milano,64,69,0
"Mar 5, 2021",LDLC ASVEL,Fenerbahce BEKO,86,90,0
"Mar 5, 2021",Olympiacos Piraeus,Crvena Zvezda Belgrade,94,79,1
"Mar 5, 2021",FC Barcelona,Baskonia,71,57,1
"Mar 11, 2021",CSKA Moscow,AX Milano,76,84,0
"Mar 11, 2021",Crvena Zvezda Belgrade,Khimki Moscow Region,92,81,1
"Mar 11, 2021",LDLC ASVEL,ALBA Berlin,89,95,0
"Mar 11, 2021",Panathinaikos Athens,Maccabi Tel Aviv,81,63,1
"Mar 11, 2021",Real Madrid,FC Barcelona,76,81,0
"Mar 12, 2021",Anadolu Efes Istanbul,Zalgiris Kaunas,89,62,1
"Mar 12, 2021",Olympiacos Piraeus,Zenit St. Petersburg,75,61,1
"Mar 12, 2021",Baskonia,FC Bayern München,78,71,1
"Mar 12, 2021",Valencia Basket,Fenerbahce BEKO,66,52,1
"Mar 16, 2021",Maccabi Tel Aviv,Anadolu Efes Istanbul,66,90,0
"Mar 18, 2021",Zenit St. Petersburg,Baskonia,75,79,0
"Mar 18, 2021",Fenerbahce BEKO,Zalgiris Kaunas,84,61,1
"Mar 18, 2021",ALBA Berlin,Olympiacos Piraeus,80,84,0
"Mar 19, 2021",Khimki Moscow Region,Valencia Basket,68,77,0
"Mar 19, 2021",FC Bayern München,Anadolu Efes Istanbul,80,79,1
"Mar 19, 2021",AX Milano,FC Barcelona,56,72,0
"Mar 19, 2021",Panathinaikos Athens,Crvena Zvezda Belgrade,82,86,0
"Mar 19, 2021",Real Madrid,CSKA Moscow,89,96,0
"Mar 25, 2021",CSKA Moscow,Crvena Zvezda Belgrade,87,72,1
"Mar 25, 2021",Anadolu Efes Istanbul,Panathinaikos Athens,85,65,1
"Mar 25, 2021",Zalgiris Kaunas,Maccabi Tel Aviv,81,88,0
"Mar 25, 2021",LDLC ASVEL,Real Madrid,71,74,0
"Mar 25, 2021",Valencia Basket,FC Bayern München,83,76,1
"Mar 26, 2021",Khimki Moscow Region,Zenit St. Petersburg,70,91,0
"Mar 26, 2021",Olympiacos Piraeus,Fenerbahce BEKO,71,76,0
"Mar 26, 2021",FC Barcelona,ALBA Berlin,80,67,1
"Mar 26, 2021",Baskonia,AX Milano,86,69,1
"Mar 30, 2021",Crvena Zvezda Belgrade,AX Milano,72,93,0
"Mar 30, 2021",Zenit St. Petersburg,CSKA Moscow,74,86,0
"Mar 30, 2021",Zalgiris Kaunas,ALBA Berlin,96,86,1
"Mar 30, 2021",Maccabi Tel Aviv,FC Barcelona,99,94,1
"Mar 30, 2021",FC Bayern München,Fenerbahce BEKO,68,77,0
"Mar 30, 2021",Panathinaikos Athens,Baskonia,82,97,0
"Mar 30, 2021",Real Madrid,Anadolu Efes Istanbul,83,108,0
"Mar 31, 2021",Khimki Moscow Region,LDLC ASVEL,87,85,1
"Mar 31, 2021",Valencia Basket,Olympiacos Piraeus,79,88,0
"Apr 1, 2021",FC Bayern München,Zalgiris Kaunas,71,70,1
"Apr 1, 2021",Crvena Zvezda Belgrade,Maccabi Tel Aviv,76,64,1
"Apr 1, 2021",Panathinaikos Athens,AX Milano,86,83,1
"Apr 1, 2021",Baskonia,Anadolu Efes Istanbul,101,111,0
"Apr 2, 2021",CSKA Moscow,Khimki Moscow Region,97,72,1
"Apr 2, 2021",Zenit St. Petersburg,LDLC ASVEL,87,53,1
"Apr 2, 2021",ALBA Berlin,Valencia Basket,86,90,0
"Apr 2, 2021",Fenerbahce BEKO,FC Barcelona,82,73,1
"Apr 2, 2021",Real Madrid,Olympiacos Piraeus,72,63,1
"Apr 4, 2021",Maccabi Tel Aviv,LDLC ASVEL,67,74,0
"Apr 6, 2021",Maccabi Tel Aviv,Khimki Moscow Region,92,62,1
"Apr 8, 2021",CSKA Moscow,LDLC ASVEL,88,70,1
"Apr 8, 2021",Zalgiris Kaunas,Panathinaikos Athens,93,78,1
"Apr 8, 2021",Fenerbahce BEKO,Real Madrid,67,93,0
"Apr 8, 2021",ALBA Berlin,Crvena Zvezda Belgrade,81,58,1
"Apr 8, 2021",Valencia Basket,Baskonia,86,81,1
"Apr 9, 2021",Zenit St. Petersburg,Maccabi Tel Aviv,86,69,1
"Apr 9, 2021",Olympiacos Piraeus,Khimki Moscow Region,82,75,1
"Apr 9, 2021",AX Milano,Anadolu Efes Istanbul,98,75,1
"Apr 9, 2021",FC Barcelona,FC Bayern München,72,82,0
"Apr 12, 2021",Zenit St. Petersburg,Panathinaikos Athens,112,83,1
"Apr 14, 2021",CSKA Moscow,Panathinaikos Athens,93,86,1
"Apr 20, 2021",Anadolu Efes Istanbul,Real Madrid,90,63,1
"Apr 20, 2021",AX Milano,FC Bayern München,79,78,1
"Apr 21, 2021",CSKA Moscow,Fenerbahce BEKO,92,76,1
"Apr 21, 2021",FC Barcelona,Zenit St. Petersburg,74,76,0
"Apr 22, 2021",Anadolu Efes Istanbul,Real Madrid,91,68,1
"Apr 22, 2021",AX Milano,FC Bayern München,80,69,1
"Apr 23, 2021",CSKA Moscow,Fenerbahce BEKO,78,67,1
"Apr 23, 2021",FC Barcelona,Zenit St. Petersburg,81,78,1
"Apr 27, 2021",Real Madrid,Anadolu Efes Istanbul,80,76,1
"Apr 28, 2021",FC Bayern München,AX Milano,85,79,1
"Apr 28, 2021",Fenerbahce BEKO,CSKA Moscow,68,85,0
"Apr 28, 2021",Zenit St. Petersburg,FC Barcelona,70,78,0
"Apr 29, 2021",Real Madrid,Anadolu Efes Istanbul,82,76,1
"Apr 30, 2021",Zenit St. Petersburg,FC Barcelona,74,61,1
"Apr 30, 2021",FC Bayern München,AX Milano,85,82,1
"May 4, 2021",Anadolu Efes Istanbul,Real Madrid,88,83,1
"May 4, 2021",AX Milano,FC Bayern München,92,89,1
"May 4, 2021",FC Barcelona,Zenit St. Petersburg,79,53,1
"May 28, 2021",CSKA Moscow,Anadolu Efes Istanbul,86,89,0
"May 28, 2021",FC Barcelona,AX Milano,84,82,1
"May 30, 2021",AX Milano,CSKA Moscow,83,73,1
"May 30, 2021",FC Barcelona,Anadolu Efes Istanbul,81,86,0
